Log created: 2026-01-12 04:38:38
Type: staging
[2026-01-12 04:39:14][notice]The next copying files starts from:3000
[2026-01-12 04:39:14][notice]The count of copied files: 500
[2026-01-12 04:39:14][notice]The next copying files starts from:3500
[2026-01-12 04:39:14][notice]The count of copied files: 500
[2026-01-12 04:39:14][notice]The next copying files starts from:4000
[2026-01-12 04:39:15][notice]The count of copied files: 500
[2026-01-12 04:39:15][notice]The next copying files starts from:4500
[2026-01-12 04:39:15][notice]The count of copied files: 500
[2026-01-12 04:39:15][notice]The next copying files starts from:5000
[2026-01-12 04:39:15][notice]The count of copied files: 500
[2026-01-12 04:39:15][notice]The next copying files starts from:5500
[2026-01-12 04:39:15][notice]The count of copied files: 500
[2026-01-12 04:39:15][notice]The next copying files starts from:6000
[2026-01-12 04:39:16][notice]The count of copied files: 500
[2026-01-12 04:39:16][notice]The next copying files starts from:6500
[2026-01-12 04:39:16][notice]The count of copied files: 500
[2026-01-12 04:39:16][notice]The next copying files starts from:7000
[2026-01-12 04:39:16][notice]The count of copied files: 500
[2026-01-12 04:39:16][notice]The next copying files starts from:7500
[2026-01-12 04:39:17][notice]The count of copied files: 500
[2026-01-12 04:39:17][notice]The next copying files starts from:8000
[2026-01-12 04:39:17][notice]The count of copied files: 500
[2026-01-12 04:39:17][notice]The next copying files starts from:8500
[2026-01-12 04:39:17][notice]The count of copied files: 500
[2026-01-12 04:39:17][notice]The next copying files starts from:9000
[2026-01-12 04:39:17][notice]The count of copied files: 500
[2026-01-12 04:39:17][notice]The next copying files starts from:9500
[2026-01-12 04:39:17][notice]The count of copied files: 500
[2026-01-12 04:39:17][notice]The next copying files starts from:10000
[2026-01-12 04:39:18][notice]The count of copied files: 500
[2026-01-12 04:39:18][notice]The next copying files starts from:10500
[2026-01-12 04:39:18][notice]The count of copied files: 500
[2026-01-12 04:39:18][notice]The next copying files starts from:11000
[2026-01-12 04:39:18][notice]The count of copied files: 500
[2026-01-12 04:39:18][notice]The next copying files starts from:11500
[2026-01-12 04:39:18][notice]The count of copied files: 500
[2026-01-12 04:39:18][notice]The next copying files starts from:12000
[2026-01-12 04:39:18][notice]The count of copied files: 500
[2026-01-12 04:39:18][notice]The next copying files starts from:12500
[2026-01-12 04:39:19][notice]The count of copied files: 500
[2026-01-12 04:39:19][notice]The next copying files starts from:13000
[2026-01-12 04:39:19][notice]The count of copied files: 500
[2026-01-12 04:39:19][notice]The next copying files starts from:13500
[2026-01-12 04:39:19][notice]The count of copied files: 500
[2026-01-12 04:39:19][notice]The next copying files starts from:14000
[2026-01-12 04:39:19][notice]The count of copied files: 500
[2026-01-12 04:39:19][notice]The next copying files starts from:14500
[2026-01-12 04:39:20][notice]The count of copied files: 500
[2026-01-12 04:39:20][notice]The next copying files starts from:15000
[2026-01-12 04:39:20][notice]The count of copied files: 500
[2026-01-12 04:39:20][notice]The next copying files starts from:15500
[2026-01-12 04:39:20][notice]The count of copied files: 500
[2026-01-12 04:39:20][notice]The next copying files starts from:16000
[2026-01-12 04:39:20][notice]The count of copied files: 500
[2026-01-12 04:39:20][notice]The next copying files starts from:16500
[2026-01-12 04:39:21][notice]The count of copied files: 500
[2026-01-12 04:39:21][notice]The next copying files starts from:17000
[2026-01-12 04:39:21][notice]The count of copied files: 500
[2026-01-12 04:39:21][notice]The next copying files starts from:17500
[2026-01-12 04:39:21][notice]The count of copied files: 500
[2026-01-12 04:39:21][notice]The next copying files starts from:18000
[2026-01-12 04:39:21][notice]The count of copied files: 500
[2026-01-12 04:39:21][notice]The next copying files starts from:18500
[2026-01-12 04:39:22][notice]The count of copied files: 500
[2026-01-12 04:39:22][notice]The next copying files starts from:19000
[2026-01-12 04:39:22][notice]The count of copied files: 500
[2026-01-12 04:39:22][notice]The next copying files starts from:19500
[2026-01-12 04:39:22][notice]The count of copied files: 500
[2026-01-12 04:39:22][notice]The next copying files starts from:20000
[2026-01-12 04:39:22][notice]The count of copied files: 500
[2026-01-12 04:39:22][notice]The next copying files starts from:20500
[2026-01-12 04:39:23][notice]The count of copied files: 500
[2026-01-12 04:39:23][notice]The next copying files starts from:21000
[2026-01-12 04:39:23][notice]The count of copied files: 500
[2026-01-12 04:39:23][notice]The next copying files starts from:21500
[2026-01-12 04:39:23][notice]Copying plugins files is completed.
[2026-01-12 04:39:24][notice]Start processing theme.
[2026-01-12 04:39:24][notice]Prepare to copy theme files.
[2026-01-12 04:39:24][notice]Retrieve the files required to copy.
[2026-01-12 04:39:24][notice]Create a cache file.
[2026-01-12 04:39:24][notice]Copying files starts from: 0
[2026-01-12 04:39:24][notice]Copying files from /var/www/wptbox/wp-content/themes to /var/www/wptbox/mystaging01/wp-content/themes
[2026-01-12 04:39:24][notice]The count of copied files: 500
[2026-01-12 04:39:24][notice]The next copying files starts from:500
[2026-01-12 04:39:25][notice]The count of copied files: 500
[2026-01-12 04:39:25][notice]The next copying files starts from:1000
[2026-01-12 04:39:25][notice]The count of copied files: 500
[2026-01-12 04:39:25][notice]The next copying files starts from:1500
[2026-01-12 04:39:25][notice]The count of copied files: 500
[2026-01-12 04:39:25][notice]The next copying files starts from:2000
[2026-01-12 04:39:26][notice]The count of copied files: 500
[2026-01-12 04:39:26][notice]The next copying files starts from:2500
[2026-01-12 04:39:26][notice]The count of copied files: 500
[2026-01-12 04:39:26][notice]The next copying files starts from:3000
[2026-01-12 04:39:26][notice]The count of copied files: 500
[2026-01-12 04:39:26][notice]The next copying files starts from:3500
[2026-01-12 04:39:26][notice]The count of copied files: 500
[2026-01-12 04:39:26][notice]The next copying files starts from:4000
[2026-01-12 04:39:27][notice]The count of copied files: 500
[2026-01-12 04:39:27][notice]The next copying files starts from:4500
[2026-01-12 04:39:27][notice]The count of copied files: 500
[2026-01-12 04:39:27][notice]The next copying files starts from:5000
[2026-01-12 04:39:27][notice]The count of copied files: 500
[2026-01-12 04:39:27][notice]The next copying files starts from:5500
[2026-01-12 04:39:28][notice]The count of copied files: 500
[2026-01-12 04:39:28][notice]The next copying files starts from:6000
[2026-01-12 04:39:28][notice]The count of copied files: 500
[2026-01-12 04:39:28][notice]The next copying files starts from:6500
[2026-01-12 04:39:28][notice]Copying theme files is completed.
[2026-01-12 04:39:29][notice]Start processing upload.
[2026-01-12 04:39:29][notice]Prepare to copy upload files.
[2026-01-12 04:39:29][notice]Retrieve the files required to copy.
[2026-01-12 04:39:29][notice]Create a cache file.
[2026-01-12 04:39:30][notice]Copying files starts from: 0
[2026-01-12 04:39:30][notice]Copying files from /var/www/wptbox/wp-content/uploads to /var/www/wptbox/mystaging01/wp-content/uploads
[2026-01-12 04:39:31][notice]The count of copied files: 500
[2026-01-12 04:39:31][notice]The next copying files starts from:500
[2026-01-12 04:39:32][notice]The count of copied files: 500
[2026-01-12 04:39:32][notice]The next copying files starts from:1000
[2026-01-12 04:39:33][notice]The count of copied files: 500
[2026-01-12 04:39:33][notice]The next copying files starts from:1500
[2026-01-12 04:39:34][notice]The count of copied files: 500
[2026-01-12 04:39:34][notice]The next copying files starts from:2000
[2026-01-12 04:39:35][notice]The count of copied files: 500
[2026-01-12 04:39:35][notice]The next copying files starts from:2500
[2026-01-12 04:39:36][notice]The count of copied files: 500
[2026-01-12 04:39:36][notice]The next copying files starts from:3000
[2026-01-12 04:39:38][notice]The count of copied files: 500
[2026-01-12 04:39:38][notice]The next copying files starts from:3500
[2026-01-12 04:39:39][notice]The count of copied files: 500
[2026-01-12 04:39:39][notice]The next copying files starts from:4000
[2026-01-12 04:39:40][notice]The count of copied files: 500
[2026-01-12 04:39:40][notice]The next copying files starts from:4500
[2026-01-12 04:39:41][notice]The count of copied files: 500
[2026-01-12 04:39:41][notice]The next copying files starts from:5000
[2026-01-12 04:39:42][notice]The count of copied files: 500
[2026-01-12 04:39:42][notice]The next copying files starts from:5500
[2026-01-12 04:39:43][notice]The count of copied files: 500
[2026-01-12 04:39:43][notice]The next copying files starts from:6000
[2026-01-12 04:39:44][notice]The count of copied files: 500
[2026-01-12 04:39:44][notice]The next copying files starts from:6500
[2026-01-12 04:39:45][notice]The count of copied files: 500
[2026-01-12 04:39:45][notice]The next copying files starts from:7000
[2026-01-12 04:39:47][notice]The count of copied files: 500
[2026-01-12 04:39:47][notice]The next copying files starts from:7500
[2026-01-12 04:39:47][notice]The count of copied files: 500
[2026-01-12 04:39:47][notice]The next copying files starts from:8000
[2026-01-12 04:39:49][notice]The count of copied files: 500
[2026-01-12 04:39:49][notice]The next copying files starts from:8500
[2026-01-12 04:39:50][notice]The count of copied files: 500
[2026-01-12 04:39:50][notice]The next copying files starts from:9000
[2026-01-12 04:39:51][notice]The count of copied files: 500
[2026-01-12 04:39:51][notice]The next copying files starts from:9500
[2026-01-12 04:39:52][notice]The count of copied files: 500
[2026-01-12 04:39:52][notice]The next copying files starts from:10000
[2026-01-12 04:39:53][notice]The count of copied files: 500
[2026-01-12 04:39:53][notice]The next copying files starts from:10500
[2026-01-12 04:39:54][notice]The count of copied files: 500
[2026-01-12 04:39:54][notice]The next copying files starts from:11000
[2026-01-12 04:39:55][notice]The count of copied files: 500
[2026-01-12 04:39:55][notice]The next copying files starts from:11500
[2026-01-12 04:39:57][notice]The count of copied files: 500
[2026-01-12 04:39:57][notice]The next copying files starts from:12000
[2026-01-12 04:39:58][notice]The count of copied files: 500
[2026-01-12 04:39:58][notice]The next copying files starts from:12500
[2026-01-12 04:39:59][notice]The count of copied files: 500
[2026-01-12 04:39:59][notice]The next copying files starts from:13000
[2026-01-12 04:40:00][notice]The count of copied files: 500
[2026-01-12 04:40:00][notice]The next copying files starts from:13500
[2026-01-12 04:40:01][notice]The count of copied files: 500
[2026-01-12 04:40:01][notice]The next copying files starts from:14000
[2026-01-12 04:40:02][notice]The count of copied files: 500
[2026-01-12 04:40:02][notice]The next copying files starts from:14500
[2026-01-12 04:40:03][notice]The count of copied files: 500
[2026-01-12 04:40:03][notice]The next copying files starts from:15000
[2026-01-12 04:40:04][notice]The count of copied files: 500
[2026-01-12 04:40:04][notice]The next copying files starts from:15500
[2026-01-12 04:40:05][notice]The count of copied files: 500
[2026-01-12 04:40:05][notice]The next copying files starts from:16000
[2026-01-12 04:40:06][notice]The count of copied files: 500
